threshold,precision,recall,f1
0.35000000000000003,0.906164757228587,0.7675600739371534,0.8311233425068801
0.36000000000000004,0.9061135371179039,0.767097966728281,0.8308308308308309
0.37000000000000005,0.906608410704533,0.767097966728281,0.8310387984981227
0.38000000000000006,0.9145534729878722,0.7666358595194085,0.8340874811463047
0.39000000000000007,0.9145063430777717,0.7661737523105361,0.8337943173246165
0.4000000000000001,0.9150110375275938,0.7661737523105361,0.8340040241448692
0.4100000000000001,0.921579532814238,0.7657116451016636,0.8364462392730944
0.42000000000000004,0.921579532814238,0.7657116451016636,0.8364462392730944
0.43000000000000005,0.921579532814238,0.7657116451016636,0.8364462392730944
0.44000000000000006,0.9266927811975377,0.7652495378927912,0.8382687927107062
0.45000000000000007,0.927170868347339,0.7647874306839186,0.8381868827551279
0.4600000000000001,0.9270891755468312,0.7638632162661737,0.8375981758297442
0.4700000000000001,0.9270482603815937,0.7634011090573013,0.8373035985808414
0.4800000000000001,0.927007299270073,0.7629390018484289,0.8370088719898606
0.49000000000000005,0.9274465691788526,0.762014787430684,0.8366311516996449
0.5000000000000001,0.934733257661748,0.761090573012939,0.8390219052470708
0.5100000000000001,0.9351904491188175,0.7601663585951941,0.8386438949783329
0.5200000000000001,0.9508386350491613,0.7597042513863216,0.8445928589776522
0.5300000000000001,0.9519397799652577,0.7597042513863216,0.8450269853508096
0.5400000000000001,0.953016241299304,0.7592421441774492,0.845164609053498
0.5500000000000002,0.9535693557748114,0.7592421441774492,0.8453820427064574
0.5600000000000002,0.9540964555490994,0.7587800369685767,0.8453024453024452
0.5700000000000002,0.9596255119953189,0.7578558225508318,0.8468887167570359
0.5800000000000002,0.963572267920094,0.7578558225508318,0.8484221417485773
0.5900000000000002,0.9749702026221693,0.756007393715342,0.8516397709526289
0.6000000000000002,0.9813813813813814,0.755083179297597,0.8534865500130583
0.6100000000000001,0.9813701923076923,0.7546210720887245,0.8531870428422152
0.6200000000000001,0.9837153196622437,0.7536968576709797,0.8534798534798534
0.6300000000000001,0.9843089921544961,0.7536968576709797,0.853703219052604
0.6400000000000001,0.9843089921544961,0.7536968576709797,0.853703219052604
0.6500000000000001,0.984251968503937,0.7509242144177449,0.8519003931847968
0.6600000000000001,0.984251968503937,0.7509242144177449,0.8519003931847968
0.6700000000000002,0.9854191980558931,0.7495378927911276,0.8514435695538057
0.6800000000000002,0.9865771812080537,0.7472273567467652,0.8503812779384696
0.6900000000000002,0.9865689865689866,0.7467652495378928,0.8500789058390321
0.7000000000000002,0.9871481028151775,0.7453789279112755,0.8493944181147972
0.7100000000000002,0.9877074370006146,0.7426062846580407,0.8477974149300976
0.7200000000000002,0.9895061728395061,0.7407578558225508,0.8472515856236786
0.7300000000000002,0.9894606323620583,0.7375231053604436,0.8451151707704527
0.7400000000000002,0.9912609238451935,0.7338262476894639,0.8433351035581519
0.7500000000000002,0.9924717691342535,0.7310536044362292,0.8419372006386375
0.7600000000000002,0.9930511686670878,0.7264325323475046,0.8390712570056045
0.7700000000000002,0.9948849104859335,0.7190388170055453,0.8347639484978541
0.7800000000000001,0.9973907371167645,0.7065619223659889,0.8271571544495537
0.7900000000000001,0.9992977528089888,0.6575785582255084,0.7931995540691192
0.8000000000000002,0.0,0.0,0.0
0.8100000000000002,0.0,0.0,0.0
0.8200000000000002,0.0,0.0,0.0
0.8300000000000002,0.0,0.0,0.0
0.8400000000000002,0.0,0.0,0.0
0.8500000000000002,0.0,0.0,0.0
0.8600000000000002,0.0,0.0,0.0
0.8700000000000002,0.0,0.0,0.0
0.8800000000000002,0.0,0.0,0.0
0.8900000000000002,0.0,0.0,0.0
0.9000000000000002,0.0,0.0,0.0
0.9100000000000003,0.0,0.0,0.0
0.9200000000000003,0.0,0.0,0.0
0.9300000000000002,0.0,0.0,0.0
0.9400000000000002,0.0,0.0,0.0
0.9500000000000002,0.0,0.0,0.0
