threshold,TP,FP,TN,FN,precision,recall,FP_cost,FN_cost,total_cost
0.45000000000000007,1655,130,97706,509,0.927170868347339,0.7647874306839186,2600.0,509000.0,511600.0
0.4600000000000001,1653,130,97706,511,0.9270891755468312,0.7638632162661737,2600.0,511000.0,513600.0
0.4700000000000001,1652,130,97706,512,0.9270482603815937,0.7634011090573013,2600.0,512000.0,514600.0
0.4800000000000001,1651,130,97706,513,0.927007299270073,0.7629390018484289,2600.0,513000.0,515600.0
0.49000000000000005,1649,129,97707,515,0.9274465691788526,0.762014787430684,2580.0,515000.0,517580.0
0.5000000000000001,1647,115,97721,517,0.934733257661748,0.761090573012939,2300.0,517000.0,519300.0
0.5100000000000001,1645,114,97722,519,0.9351904491188175,0.7601663585951941,2280.0,519000.0,521280.0
0.5200000000000001,1644,85,97751,520,0.9508386350491613,0.7597042513863216,1700.0,520000.0,521700.0
0.5300000000000001,1644,83,97753,520,0.9519397799652577,0.7597042513863216,1660.0,520000.0,521660.0
0.5400000000000001,1643,81,97755,521,0.953016241299304,0.7592421441774492,1620.0,521000.0,522620.0
0.5500000000000002,1643,80,97756,521,0.9535693557748114,0.7592421441774492,1600.0,521000.0,522600.0
0.5600000000000002,1642,79,97757,522,0.9540964555490994,0.7587800369685767,1580.0,522000.0,523580.0
0.5700000000000002,1640,69,97767,524,0.9596255119953189,0.7578558225508318,1380.0,524000.0,525380.0
0.5800000000000002,1640,62,97774,524,0.963572267920094,0.7578558225508318,1240.0,524000.0,525240.0
0.5900000000000002,1636,42,97794,528,0.9749702026221693,0.756007393715342,840.0,528000.0,528840.0
0.6000000000000002,1634,31,97805,530,0.9813813813813814,0.755083179297597,620.0,530000.0,530620.0
0.6100000000000001,1633,31,97805,531,0.9813701923076923,0.7546210720887245,620.0,531000.0,531620.0
0.6200000000000001,1631,27,97809,533,0.9837153196622437,0.7536968576709797,540.0,533000.0,533540.0
0.6300000000000001,1631,26,97810,533,0.9843089921544961,0.7536968576709797,520.0,533000.0,533520.0
0.6400000000000001,1631,26,97810,533,0.9843089921544961,0.7536968576709797,520.0,533000.0,533520.0
0.6500000000000001,1625,26,97810,539,0.984251968503937,0.7509242144177449,520.0,539000.0,539520.0
0.6600000000000001,1625,26,97810,539,0.984251968503937,0.7509242144177449,520.0,539000.0,539520.0
0.6700000000000002,1622,24,97812,542,0.9854191980558931,0.7495378927911276,480.0,542000.0,542480.0
0.6800000000000002,1617,22,97814,547,0.9865771812080537,0.7472273567467652,440.0,547000.0,547440.0
0.6900000000000002,1616,22,97814,548,0.9865689865689866,0.7467652495378928,440.0,548000.0,548440.0
0.7000000000000002,1613,21,97815,551,0.9871481028151775,0.7453789279112755,420.0,551000.0,551420.0
0.7100000000000002,1607,20,97816,557,0.9877074370006146,0.7426062846580407,400.0,557000.0,557400.0
0.7200000000000002,1603,17,97819,561,0.9895061728395061,0.7407578558225508,340.0,561000.0,561340.0
0.7300000000000002,1596,17,97819,568,0.9894606323620583,0.7375231053604436,340.0,568000.0,568340.0
0.7400000000000002,1588,14,97822,576,0.9912609238451935,0.7338262476894639,280.0,576000.0,576280.0
0.7500000000000002,1582,12,97824,582,0.9924717691342535,0.7310536044362292,240.0,582000.0,582240.0
0.7600000000000002,1572,11,97825,592,0.9930511686670878,0.7264325323475046,220.0,592000.0,592220.0
0.7700000000000002,1556,8,97828,608,0.9948849104859335,0.7190388170055453,160.0,608000.0,608160.0
0.7800000000000001,1529,4,97832,635,0.9973907371167645,0.7065619223659889,80.0,635000.0,635080.0
0.7900000000000001,1423,1,97835,741,0.9992977528089888,0.6575785582255084,20.0,741000.0,741020.0
0.8000000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8100000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8200000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8300000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8400000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8500000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8600000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8700000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8800000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.8900000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9000000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9100000000000003,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9200000000000003,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9300000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9400000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
0.9500000000000002,0,0,97836,2164,0.0,0.0,0.0,2164000.0,2164000.0
